gene_symbol	log2FoldChange	pvalue	padj	significance
HMGB1P51	-0.466650168772926	0.886753558172694	NA	Not significant
ENSG00000182625	-0.466650168772926	0.886753558172694	NA	Not significant
ENSG00000278513	NA	NA	NA	Not significant
ENSG00000259173	-0.67142664890051	0.837641271502524	NA	Not significant
ENSG00000200318	-0.34126785335314	0.843370511170425	NA	Not significant
ENSG00000259353	-1.37437047492125	0.261266924453037	NA	Not significant
ZNF444P1	0.0257142809277242	0.993738634267114	NA	Not significant
ENSG00000242747	-0.309124169038704	0.712369294139998	NA	Not significant
ENSG00000225798	-0.892841960847396	0.224689675489651	NA	Not significant
ENSG00000259393	NA	NA	NA	Not significant
ENSG00000241640	-0.623142581931627	0.849172060872502	NA	Not significant
LDHAL6B	-0.698925427592257	0.428048990306146	NA	Not significant
ENSG00000259750	-0.960011820749454	0.630996364728463	NA	Not significant
ENSG00000259674	0.288586834158587	0.776289314540309	NA	Not significant
ENSG00000200252	-0.589974063164834	0.85558743042116	NA	Not significant
ENSG00000243780	NA	NA	NA	Not significant
ENSG00000240238	-1.30308109015102	0.458408732104672	NA	Not significant
RNA5SP396	NA	NA	NA	Not significant
PIGHP1	-0.698184199061809	0.599683469015118	NA	Not significant
ENSG00000259238	-0.186137186242087	0.828432230689055	NA	Not significant
ENSG00000259601	1.77078926365185	0.295051996527206	NA	Not significant
NMNAT1P5	-0.549000608432912	0.866940003412431	NA	Not significant
MESTP2	-0.180382797719837	0.956098945071449	NA	Not significant
ENSG00000259223	-0.136806485216531	0.966697003093907	NA	Not significant
ENSG00000240163	-0.672144153281473	0.801122745487479	NA	Not significant
ENSG00000242667	-0.67213326765064	0.799397055996743	NA	Not significant
ENSG00000273721	-0.58998118323748	0.857107615631598	NA	Not significant
CYCSP38	-0.751215621357025	0.284612244523922	NA	Not significant
ENSG00000277413	-1.0241116583146	0.378097187692869	NA	Not significant
RORA-AS2	-0.466650168772926	0.886753558172694	NA	Not significant
RNA5SP397	NA	NA	NA	Not significant
